# target_points tiny_cutoff beam recall qps  (ParlayIVF YFCC 10M GCP c3-standard-22 repro, 2026-06-15)
# cluster_size=5000, T=8, cutoff=10000, weight_classes=[100000,400000], max_degrees=(8,10,12)
# leaderboard config: 10 query-arg operating points, PARLAY_NUM_THREADS=20, official GT.public.ibin
# ParlayANN commit f7208ba5795a4bd433361871579057c26106c4ba
5000 28000 90 0.9034 49089.91
5000 30000 85 0.9035 47989.73
7500 35000 55 0.9044 44427.22
15000 60000 40 0.9057 43082.23
15000 100000 40 0.9059 42857.03
15000 60000 50 0.9200 42381.49
15000 100000 50 0.9202 41758.25
15000 100000 60 0.9299 40422.49
15000 60000 90 0.9483 38375.83
15000 100000 90 0.9485 38277.92
